<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER [TQBR],1,20161205,134300,160.790000,160.810000,160.750000,160.760000,811.000000
SBER [TQBR],1,20161205,134400,160.740000,160.780000,160.700000,160.780000,1804.000000
SBER [TQBR],1,20161205,134500,160.730000,160.730000,160.690000,160.710000,755.000000
SBER [TQBR],1,20161205,134600,160.710000,160.720000,160.650000,160.650000,1785.000000
SBER [TQBR],1,20161205,134700,160.650000,160.750000,160.630000,160.750000,826.000000
SBER [TQBR],1,20161205,134800,160.740000,160.750000,160.680000,160.750000,2248.000000
SBER [TQBR],1,20161205,134900,160.750000,160.860000,160.750000,160.840000,2029.000000
SBER [TQBR],1,20161205,135000,160.840000,160.900000,160.810000,160.900000,6071.000000
SBER [TQBR],1,20161205,135100,160.880000,160.900000,160.810000,160.880000,1368.000000
SBER [TQBR],1,20161205,135200,160.880000,160.910000,160.850000,160.910000,1167.000000
SBER [TQBR],1,20161205,135300,160.910000,160.910000,160.880000,160.890000,308.000000
SBER [TQBR],1,20161205,135400,160.890000,160.900000,160.820000,160.890000,1018.000000
SBER [TQBR],1,20161205,135500,160.850000,160.900000,160.850000,160.900000,1309.000000
SBER [TQBR],1,20161205,135600,160.870000,160.890000,160.800000,160.850000,769.000000
SBER [TQBR],1,20161205,135700,160.850000,160.850000,160.790000,160.850000,1151.000000
SBER [TQBR],1,20161205,135800,160.850000,160.850000,160.820000,160.850000,1045.000000
SBER [TQBR],1,20161205,135900,160.850000,160.850000,160.760000,160.840000,4240.000000
SBER [TQBR],1,20161205,140000,160.810000,160.880000,160.760000,160.880000,2767.000000
SBER [TQBR],1,20161205,140100,160.880000,160.910000,160.870000,160.900000,2805.000000
SBER [TQBR],1,20161205,140200,160.870000,160.870000,160.740000,160.740000,1626.000000
SBER [TQBR],1,20161205,140300,160.800000,160.800000,160.770000,160.800000,1797.000000
SBER [TQBR],1,20161205,140400,160.810000,160.880000,160.800000,160.800000,1033.000000
SBER [TQBR],1,20161205,140500,160.800000,160.870000,160.800000,160.850000,1425.000000
SBER [TQBR],1,20161205,140600,160.850000,160.900000,160.850000,160.890000,1976.000000
SBER [TQBR],1,20161205,140700,160.890000,160.900000,160.840000,160.840000,2476.000000
SBER [TQBR],1,20161205,140800,160.870000,160.870000,160.820000,160.820000,3406.000000
SBER [TQBR],1,20161205,140900,160.840000,160.870000,160.820000,160.860000,722.000000
SBER [TQBR],1,20161205,141000,160.870000,160.870000,160.810000,160.840000,3852.000000
SBER [TQBR],1,20161205,141100,160.840000,160.860000,160.820000,160.860000,795.000000
SBER [TQBR],1,20161205,141200,160.860000,160.900000,160.860000,160.870000,2791.000000
SBER [TQBR],1,20161205,141300,160.890000,160.890000,160.810000,160.810000,1526.000000
SBER [TQBR],1,20161205,141400,160.830000,160.920000,160.820000,160.910000,9676.000000
SBER [TQBR],1,20161205,141500,160.890000,160.920000,160.820000,160.900000,4579.000000
SBER [TQBR],1,20161205,141600,160.900000,160.920000,160.850000,160.900000,3088.000000
SBER [TQBR],1,20161205,141700,160.900000,160.900000,160.850000,160.900000,614.000000
